title,year,genre,actors
The Matrix,1999,action,"Keanu Reeves,, Laurence Fishburne,, Carrie-Anne Moss,, Joe Pantoliano,, Hugo Weaving"
The Lord of the Rings: The Fellowship of the Ring,2001,action,"Elijah Wood,, Ian McKellen,, Viggo Mortensen,, Sean Astin,, Sean Bean"
Gladiator,2000,action,"Russell Crowe,, Joaquin Phoenix,, Connie Nielsen,, Oliver Reed,, Richard Harris"
Kill Bill: Volume 1,2003,action,"Uma Thurman,, Lucy Liu,, Daryl Hannah,, Vivica A. Fox,, Sonny Chiba"
The Lord of the Rings: The Return of the King,2003,action,"Elijah Wood,, Viggo Mortensen,, Ian McKellen,, Sean Astin,, Andy Serkis"
The Lord of the Rings: The Two Towers,2002,action,"Elijah Wood,, Viggo Mortensen,, Ian McKellen,, Sean Astin,, Andy Serkis"
Avatar,2009,action,"Sam Worthington,, Zoe Saldana,, Sigourney Weaver,, Stephen Lang,, Michelle Rodriguez"
Inception,2010,action,"Leonardo DiCaprio,, Joseph Gordon-Levitt,, Elliot Page,, Ken Watanabe,, Marion Cotillard"
Inglourious Basterds,2009,action,"Brad Pitt,, Christoph Waltz,, Mélanie Laurent,, Diane Kruger,, Michael Fassbender"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,action,"Johnny Depp,, Orlando Bloom,, Keira Knightley,, Geoffrey Rush,, Jack Davenport"
The Dark Knight,2008,action,"Christian Bale,, Heath Ledger,, Aaron Eckhart,, Michael Caine,, Gary Oldman"
300,2006,action,"Gerard Butler,, Lena Headey,, David Wenham,, Dominic West,, Vincent Regan"
The Terminator,1984,action,"Arnold Schwarzenegger,, Linda Hamilton,, Michael Biehn,, Paul Winfield,, Lance Henriksen"
Kill Bill: Volume 2,2004,action,"Uma Thurman,, David Carradine,, Lucy Liu,, Vivica A. Fox,, Gordon Liu"
Men in Black (MIB),1997,action,"Tommy Lee Jones,, Will Smith,, Linda Fiorentino,, Vincent D'Onofrio,, Rip Torn"
Reservoir Dogs,1992,action,"Tim Roth,, Harvey Keitel,, Steve Buscemi,, Michael Madsen,, Chris Penn"
The Departed,2006,action,"Leonardo DiCaprio,, Matt Damon,, Jack Nicholson,, Mark Wahlberg,, Vera Farmiga"
Blade Runner,1982,action,"Harrison Ford,, Rutger Hauer,, Sean Young,, Daryl Hannah,, Edward James Olmos"
Raiders of the Lost Ark,1981,action,"Harrison Ford,, Karen Allen,, Paul Freeman,, Ronald Lacey,, John Rhys-Davies"
V for Vendetta,2005,action,"Natalie Portman,, Hugo Weaving,, Stephen Rea,, John Hurt,, Rupert Graves"
City of God,2002,action,"Alexandre Rodrigues,, Leandro Firmino,, Phellipe Haagensen,, Douglas Silva,, Seu Jorge"
Terminator 2: Judgment Day,1991,action,"Arnold Schwarzenegger,, Linda Hamilton,, Edward Furlong,, Robert Patrick,, Earl Boen"
Sin City (Frank Miller's Sin City),2005,action,"Bruce Willis,, Mickey Rourke,, Clive Owen,, Rosario Dawson,, Jessica Alba"
Indiana Jones and the Last Crusade,1989,action,"Harrison Ford,, Sean Connery,, Alison Doody,, Denholm Elliott,, John Rhys-Davies"
Die Hard,1988,action,"Bruce Willis,, Bonnie Bedelia,, Alan Rickman,, Alexander Godunov,, Paul Gleason"
The Matrix Revolutions,2003,action,"Keanu Reeves,, Laurence Fishburne,, Carrie-Anne Moss,, Hugo Weaving,, Jada Pinkett Smith"
X-Men,2000,action,"Hugh Jackman,, Patrick Stewart,, Ian McKellen,, Anna Paquin,, Halle Berry"
Indiana Jones and the Temple of Doom,1984,action,"Harrison Ford,, Kate Capshaw,, Ke Huy Quan,, Amrish Puri,, Roshan Seth"
Batman,1989,action,"Michael Keaton,, Jack Nicholson,, Kim Basinger,, Robert Wuhl,, Pat Hingle"
Batman Begins,2005,action,"Christian Bale,, Liam Neeson,, Katie Holmes,, Cillian Murphy,, Michael Caine"
Forrest Gump,1994,comedy,"Tom Hanks,, Robin Wright,, Gary Sinise,, Mykelti Williamson,, Sally Field"
Life Is Beautiful,1997,comedy,"Roberto Benigni,, Nicoletta Braschi,, Giorgio Cantarini,, Marisa Paredes,, Giustino Durano"
American Beauty,1999,comedy,"Kevin Spacey,, Annette Bening,, Thora Birch,, Allison Janney,, Peter Gallagher"
The Lion King,1994,comedy,"Matthew Broderick,, Jeremy Irons,, Jonathan Taylor Thomas,, Moira Kelly"
Toy Story,1995,comedy,"Tom Hanks,, Tim Allen,, Don Rickles,, Jim Varney"
Amelie,2001,comedy,"Audrey Tautou,, Mathieu Kassovitz,, Rufus Magloire,, Lorella Cravotta,, Serge Merlin"
Inglourious Basterds,2009,comedy,"Brad Pitt,, Christoph Waltz,, Mélanie Laurent,, Diane Kruger,, Michael Fassbender"
Shrek,2001,comedy,"Mike Myers,, Eddie Murphy,, Cameron Diaz,, John Lithgow"
There's Something About Mary,1998,comedy,"Cameron Diaz,, Ben Stiller,, Matt Dillon,, Chris Elliott,, Lee Evans"
